Time,Event,EventTime,U,Beta,G1_1,G1_2,X1_1,X1_2,XX1,SS,gg1,z1,chi,Normalized chi
0,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,0.85,0
0.01,1,0.01,0,0,0,0,-4,-4,1588476537.92843,0,0,0,11.9548528784788,0.270508704671478
0.02,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.03,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.04,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.05,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.06,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.07,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.08,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.09,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.1,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.11,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.12,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.13,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.14,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.15,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.16,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.17,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.18,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.19,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.2,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.21,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.22,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.23,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.24,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.25,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.26,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.27,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.28,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.29,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.3,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.31,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.32,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.33,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.34,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.35,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.36,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.37,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.38,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.39,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.4,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.41,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.42,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.43,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.44,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.45,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.46,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.47,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.48,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.49,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.5,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.51,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.52,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.53,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.54,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.55,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.56,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.57,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.58,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.59,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.6,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.61,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.62,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.63,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.64,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.65,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.66,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.67,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.68,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.69,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.7,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.71,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.72,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.73,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.74,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.75,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.76,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.77,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.78,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.79,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.8,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.81,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.82,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.83,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.84,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.85,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.86,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.87,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.88,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.89,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.9,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.91,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
0.92,NaN,NaN,0,0,0,0,-4,-4,1588476537.92843,0,1985595672.41053,0,11.9548528784788,0.270508704671478
